h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
33,-0.018122,-0.066929,0.020378,-0.003909,-0.011491,0.002721,-0.000679,-0.001835,0.000309,-0.000342,-0.000942,0.000175,0.015205,-0.010717,0.046283,0.003941,-0.005849,0.014548
34,-0.017933,-0.064707,0.019887,-0.003796,-0.011466,0.002791,-0.000667,-0.001836,0.000340,-0.000363,-0.000965,0.000164,0.014611,-0.010512,0.045381,0.003643,-0.006205,0.014377
35,-0.016238,-0.062516,0.019708,-0.003951,-0.011680,0.002516,-0.000666,-0.001865,0.000317,-0.000365,-0.000971,0.000141,0.014400,-0.010006,0.044631,0.003468,-0.006311,0.014330
36,-0.015683,-0.060318,0.018683,-0.003960,-0.011656,0.002464,-0.000664,-0.001855,0.000304,-0.000353,-0.000963,0.000146,0.013939,-0.009909,0.043544,0.002514,-0.007205,0.013198
37,-0.015197,-0.058131,0.018270,-0.003920,-0.011651,0.002338,-0.000665,-0.001862,0.000321,-0.000370,-0.000978,0.000134,0.013482,-0.009512,0.042495,0.002242,-0.007723,0.013022
38,-0.013629,-0.055986,0.017472,-0.003996,-0.011641,0.002192,-0.000656,-0.001860,0.000328,-0.000377,-0.000988,0.000131,0.013248,-0.009071,0.041834,0.002116,-0.008100,0.012500
39,-0.013268,-0.053725,0.016700,-0.004019,-0.011560,0.002119,-0.000657,-0.001858,0.000313,-0.000371,-0.000984,0.000128,0.012572,-0.008732,0.040140,0.001198,-0.009092,0.011584
40,-0.012495,-0.050795,0.016342,-0.003974,-0.011458,0.002073,-0.000660,-0.001849,0.000311,-0.000373,-0.000993,0.000128,0.011950,-0.008183,0.039289,0.000754,-0.009931,0.011082
41,-0.011639,-0.048313,0.015949,-0.003953,-0.011392,0.001885,-0.000653,-0.001860,0.000301,-0.000380,-0.001003,0.000117,0.011624,-0.007555,0.038395,0.000492,-0.010335,0.010586
42,-0.010403,-0.046026,0.015471,-0.003936,-0.011332,0.001778,-0.000649,-0.001858,0.000301,-0.000376,-0.000997,0.000122,0.011213,-0.007092,0.037253,-0.000011,-0.010910,0.010014
43,-0.009351,-0.043843,0.015441,-0.003849,-0.011173,0.001800,-0.000645,-0.001826,0.000283,-0.000381,-0.000994,0.000120,0.010679,-0.006925,0.035927,-0.000674,-0.011730,0.009260
44,-0.008340,-0.041718,0.015946,-0.003837,-0.011088,0.001699,-0.000636,-0.001831,0.000278,-0.000383,-0.001003,0.000119,0.010337,-0.006891,0.034708,-0.000935,-0.012127,0.008778
45,-0.007595,-0.039516,0.015708,-0.003795,-0.010966,0.001615,-0.000634,-0.001815,0.000273,-0.000379,-0.000995,0.000122,0.009954,-0.006425,0.033317,-0.001398,-0.012784,0.008308
46,-0.007110,-0.037613,0.016104,-0.003684,-0.010737,0.001582,-0.000637,-0.001806,0.000265,-0.000375,-0.001005,0.000120,0.009206,-0.006218,0.032130,-0.001724,-0.013205,0.007732
47,-0.006612,-0.035689,0.016685,-0.003622,-0.010563,0.001507,-0.000626,-0.001802,0.000253,-0.000380,-0.001000,0.000120,0.008656,-0.005891,0.030811,-0.001956,-0.013694,0.007322
48,-0.005959,-0.033941,0.017269,-0.003562,-0.010377,0.001446,-0.000624,-0.001797,0.000251,-0.000373,-0.000993,0.000124,0.008135,-0.005862,0.029876,-0.002301,-0.014135,0.006990
