h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
35,-0.019487,-0.059370,0.011500,-0.006076,-0.013001,-0.000612,-0.001355,-0.002451,-0.000492,-0.000809,-0.001411,-0.000335,0.019439,-0.001256,0.045454,0.008711,-0.000160,0.019566
36,-0.020268,-0.059038,0.009213,-0.006167,-0.013012,-0.000708,-0.001349,-0.002469,-0.000505,-0.000818,-0.001430,-0.000352,0.019432,-0.000251,0.045350,0.007702,-0.001084,0.018390
37,-0.020777,-0.058287,0.006720,-0.006262,-0.013052,-0.000878,-0.001368,-0.002467,-0.000511,-0.000826,-0.001443,-0.000370,0.020238,0.001052,0.045156,0.006007,-0.002923,0.016585
38,-0.021233,-0.057511,0.004403,-0.006337,-0.013175,-0.001052,-0.001366,-0.002466,-0.000526,-0.000836,-0.001455,-0.000372,0.020131,0.001990,0.044851,0.005037,-0.003979,0.015412
39,-0.021778,-0.056587,0.002857,-0.006377,-0.013180,-0.001249,-0.001376,-0.002469,-0.000526,-0.000846,-0.001455,-0.000376,0.020447,0.003063,0.044209,0.004150,-0.005076,0.014448
40,-0.022044,-0.055699,0.001400,-0.006401,-0.013286,-0.001335,-0.001368,-0.002465,-0.000534,-0.000851,-0.001477,-0.000388,0.020176,0.003801,0.043586,0.002867,-0.006443,0.012847
41,-0.021911,-0.054926,-0.000016,-0.006432,-0.013240,-0.001416,-0.001376,-0.002469,-0.000547,-0.000853,-0.001475,-0.000389,0.020668,0.004747,0.043458,0.002189,-0.007526,0.011799
42,-0.021398,-0.053577,-0.000455,-0.006419,-0.013221,-0.001554,-0.001371,-0.002463,-0.000545,-0.000860,-0.001485,-0.000390,0.020442,0.005205,0.042971,0.000895,-0.008891,0.010477
43,-0.021138,-0.051992,-0.000957,-0.006439,-0.013227,-0.001646,-0.001374,-0.002475,-0.000563,-0.000861,-0.001485,-0.000395,0.020151,0.005658,0.042007,0.000725,-0.009272,0.009981
44,-0.020732,-0.050207,-0.000831,-0.006464,-0.013207,-0.001749,-0.001367,-0.002465,-0.000563,-0.000860,-0.001485,-0.000396,0.019848,0.005740,0.040848,-0.000186,-0.010427,0.009050
45,-0.020169,-0.048535,-0.000879,-0.006412,-0.013086,-0.001845,-0.001371,-0.002469,-0.000578,-0.000856,-0.001485,-0.000395,0.019553,0.006120,0.040338,-0.000429,-0.010837,0.008679
46,-0.019273,-0.047110,-0.000092,-0.006374,-0.012942,-0.001892,-0.001370,-0.002461,-0.000581,-0.000859,-0.001480,-0.000400,0.019324,0.006199,0.039338,-0.001244,-0.011852,0.007936
47,-0.018274,-0.046044,0.000908,-0.006324,-0.012802,-0.001994,-0.001368,-0.002477,-0.000586,-0.000854,-0.001478,-0.000399,0.018765,0.006173,0.038189,-0.001512,-0.012341,0.007580
48,-0.016928,-0.044140,0.002188,-0.006236,-0.012636,-0.002074,-0.001363,-0.002439,-0.000590,-0.000851,-0.001478,-0.000399,0.018332,0.005983,0.036954,-0.001976,-0.012712,0.006989
