h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
36,-0.007021,-0.015717,0.001077,-0.004277,-0.007036,-0.001987,-0.000882,-0.001524,-0.000373,-0.000563,-0.000993,-0.000218,0.026617,0.012315,0.044145,0.001247,-0.003389,0.008055
37,-0.007684,-0.016079,-0.000063,-0.004156,-0.006842,-0.001970,-0.000885,-0.001526,-0.000381,-0.000571,-0.000991,-0.000239,0.026295,0.012519,0.043708,0.000868,-0.003547,0.006825
38,-0.008162,-0.016456,-0.000732,-0.004090,-0.006870,-0.001873,-0.000889,-0.001529,-0.000386,-0.000578,-0.000992,-0.000241,0.026588,0.012793,0.043623,0.000163,-0.004142,0.005175
39,-0.008623,-0.016835,-0.001404,-0.004094,-0.006901,-0.001883,-0.000894,-0.001534,-0.000393,-0.000578,-0.001002,-0.000246,0.026460,0.012779,0.043098,0.000101,-0.003896,0.004709
40,-0.009129,-0.017331,-0.002125,-0.003937,-0.006711,-0.001797,-0.000897,-0.001524,-0.000406,-0.000581,-0.000998,-0.000252,0.026047,0.012476,0.042811,-0.000149,-0.003958,0.004025
41,-0.009320,-0.017467,-0.002313,-0.003886,-0.006647,-0.001717,-0.000895,-0.001527,-0.000409,-0.000581,-0.000992,-0.000251,0.026204,0.012273,0.042475,-0.000682,-0.004510,0.003040
42,-0.009548,-0.017586,-0.002801,-0.003825,-0.006599,-0.001671,-0.000911,-0.001530,-0.000411,-0.000586,-0.000996,-0.000252,0.025893,0.012139,0.042003,-0.000727,-0.004497,0.002536
43,-0.009837,-0.017657,-0.003219,-0.003702,-0.006443,-0.001564,-0.000914,-0.001528,-0.000419,-0.000588,-0.000996,-0.000260,0.025424,0.011915,0.041864,-0.000781,-0.004427,0.002323
44,-0.010054,-0.017739,-0.003497,-0.003606,-0.006332,-0.001529,-0.000908,-0.001527,-0.000420,-0.000587,-0.000992,-0.000262,0.025275,0.011614,0.041499,-0.000873,-0.004493,0.001711
45,-0.010041,-0.017741,-0.003516,-0.003582,-0.006241,-0.001504,-0.000917,-0.001521,-0.000431,-0.000590,-0.000991,-0.000264,0.024874,0.011289,0.041080,-0.000956,-0.004421,0.001482
46,-0.010073,-0.017825,-0.003812,-0.003519,-0.006162,-0.001441,-0.000918,-0.001518,-0.000436,-0.000592,-0.000992,-0.000271,0.024194,0.011040,0.040583,-0.000821,-0.004268,0.001514
47,-0.010077,-0.017780,-0.003865,-0.003466,-0.006019,-0.001379,-0.000914,-0.001510,-0.000434,-0.000587,-0.000990,-0.000273,0.023938,0.010699,0.039817,-0.000694,-0.003916,0.001512
48,-0.009819,-0.017508,-0.003779,-0.003417,-0.005945,-0.001364,-0.000914,-0.001505,-0.000435,-0.000592,-0.000985,-0.000274,0.023568,0.010491,0.039259,-0.000730,-0.003763,0.001358
