h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
32,-0.063358,-0.116059,-0.021089,-0.010916,-0.018658,-0.004646,-0.001758,-0.002923,-0.000787,-0.000640,-0.001285,-0.000124,0.049465,0.023601,0.082370,0.008913,-0.002065,0.020863
33,-0.062949,-0.115797,-0.021716,-0.011086,-0.019031,-0.004839,-0.001761,-0.002970,-0.000778,-0.000664,-0.001310,-0.000138,0.049077,0.023567,0.082388,0.007518,-0.003744,0.019502
34,-0.062241,-0.114271,-0.021514,-0.011218,-0.019255,-0.005005,-0.001769,-0.002999,-0.000790,-0.000678,-0.001331,-0.000163,0.048537,0.023465,0.081574,0.006150,-0.005186,0.018259
35,-0.060324,-0.111975,-0.021495,-0.011278,-0.019499,-0.005119,-0.001752,-0.002981,-0.000786,-0.000705,-0.001371,-0.000186,0.048045,0.023072,0.080766,0.004903,-0.006897,0.016735
36,-0.058783,-0.109774,-0.021274,-0.011357,-0.019671,-0.005309,-0.001747,-0.002990,-0.000775,-0.000724,-0.001398,-0.000201,0.047146,0.022693,0.079550,0.003361,-0.008745,0.015130
37,-0.056763,-0.106663,-0.020859,-0.011441,-0.019654,-0.005424,-0.001740,-0.003019,-0.000794,-0.000732,-0.001405,-0.000210,0.046305,0.022706,0.078574,0.002067,-0.010131,0.013810
38,-0.054487,-0.103590,-0.020226,-0.011486,-0.019701,-0.005542,-0.001726,-0.003012,-0.000793,-0.000744,-0.001429,-0.000217,0.045242,0.022410,0.077448,0.000475,-0.012127,0.012188
39,-0.052571,-0.100843,-0.019222,-0.011488,-0.019765,-0.005552,-0.001716,-0.003031,-0.000784,-0.000748,-0.001434,-0.000225,0.044263,0.021804,0.075763,-0.000814,-0.013701,0.010684
40,-0.050433,-0.097490,-0.017898,-0.011483,-0.019808,-0.005608,-0.001711,-0.003023,-0.000777,-0.000756,-0.001447,-0.000234,0.043210,0.021179,0.074228,-0.002256,-0.015405,0.009106
41,-0.047405,-0.093501,-0.016439,-0.011358,-0.019806,-0.005611,-0.001707,-0.003035,-0.000785,-0.000765,-0.001452,-0.000235,0.041739,0.020658,0.072443,-0.003629,-0.016897,0.007715
42,-0.044642,-0.089407,-0.014712,-0.011288,-0.019725,-0.005584,-0.001699,-0.003045,-0.000776,-0.000769,-0.001463,-0.000237,0.040102,0.019629,0.070847,-0.004988,-0.018211,0.006384
43,-0.041926,-0.085354,-0.012874,-0.011186,-0.019678,-0.005507,-0.001692,-0.003028,-0.000774,-0.000767,-0.001469,-0.000238,0.038732,0.018579,0.069216,-0.006142,-0.019645,0.005035
44,-0.039322,-0.081677,-0.010270,-0.011013,-0.019587,-0.005482,-0.001681,-0.003006,-0.000769,-0.000768,-0.001483,-0.000244,0.037269,0.017657,0.067463,-0.007223,-0.020948,0.003953
45,-0.036098,-0.077744,-0.008107,-0.010844,-0.019421,-0.005394,-0.001662,-0.003007,-0.000750,-0.000769,-0.001483,-0.000240,0.035808,0.016717,0.065355,-0.008319,-0.022427,0.002848
46,-0.032858,-0.073488,-0.005345,-0.010634,-0.019296,-0.005257,-0.001646,-0.003010,-0.000745,-0.000770,-0.001486,-0.000242,0.034293,0.015473,0.063437,-0.009225,-0.023655,0.001787
47,-0.029906,-0.069880,-0.002467,-0.010406,-0.019149,-0.005127,-0.001635,-0.002995,-0.000733,-0.000769,-0.001495,-0.000239,0.032605,0.014173,0.061252,-0.010099,-0.024911,0.000902
48,-0.026844,-0.065341,0.000561,-0.010202,-0.019061,-0.004896,-0.001625,-0.002980,-0.000716,-0.000764,-0.001498,-0.000238,0.030784,0.012871,0.058857,-0.010967,-0.025622,0.000054
