DATE,y1,log_sp500,log_rgdp,log_pgdp,unemp,EBP,shock_Hybrid_meeting_sum,shock_AD_meeting_sum,shock_Wu_meeting_sum,shock_Kr_meeting_sum
2008-11-01,1.07,6.873474332586759,9.613392993029128,4.372995537397555,6.8,3.158440698759261,0.0,0.0,0.0,0.0
2008-12-01,0.49,6.704671701749543,9.609609142159087,4.372737270565934,7.3,3.3486020359461106,0.0,0.0,-0.2473822550218316,-0.2922067013979292
2009-01-01,0.44,6.837118186504396,9.605810919363202,4.372478937019733,7.8,2.8163106455409435,0.0,0.0,0.2306877056024874,0.1414797240881084
2009-02-01,0.62,6.71591657991929,9.604828979594584,4.3717747593037855,8.3,3.191865293386227,0.0,0.0,0.0,0.0
2009-03-01,0.64,6.5522510880160425,9.603846074672457,4.371070085376552,8.7,2.769303874450672,0.0,0.0,0.0153304055278451,0.1265143656684043
2009-04-01,0.55,6.698366713859971,9.602862202697645,4.370364914528269,9.0,2.262853876889915,0.0,0.0,-0.0850945699999254,-0.0642344254896198
2009-05-01,0.5,6.777099769894582,9.604095077177696,4.370755801012878,9.4,1.3721976814336374,0.0,0.0,0.0,0.0
2009-06-01,0.51,6.848928409926907,9.605326433549706,4.371146534766782,9.5,0.93384416396743,0.0,0.0,-0.0462256121661546,0.0520438724860135
2009-07-01,0.48,6.827986718810074,9.606556275547744,4.37153711591039,9.5,0.3296289276495439,0.0,0.0,0.0,0.0
2009-08-01,0.46,6.910381831570901,9.610493102346657,4.372816377231866,9.6,0.0643440228222744,0.0,0.0,-0.0209963524954446,0.0582040054244441
2009-09-01,0.4,6.905793333625391,9.614414491296603,4.374094004135905,9.8,0.0632394388808199,0.0,0.0,-0.0430196135091083,-0.0471253428440873
2009-10-01,0.37,6.937168416246122,9.61832056300058,4.3753700007979255,10.0,-0.1390489794367688,0.0,0.0,0.0,0.0
2009-11-01,0.31,6.949741400443612,9.62047950795738,4.3764749799781,9.9,-0.001001249781765,0.0,0.0,-0.0105318486284544,-0.0012759272936857
2009-12-01,0.37,7.011087725998314,9.622633801910315,4.377578739523907,9.9,-0.4777936436436101,0.0,0.0,0.2005281423291305,-0.1804946689753055
2010-01-01,0.35,7.0326154260375215,9.624783464855577,4.378681282130587,9.8,-0.1917750732682805,0.0,0.0,-0.1125886887608686,0.3612871096269865
2010-02-01,0.35,6.993189525538451,9.62799029581013,4.380413329969411,9.8,0.0057797704145108,0.0,0.0,0.0,0.0
2010-03-01,0.4,7.017246217586527,9.631186875864062,4.382142383002003,9.9,-0.1518695194507251,0.0,0.0,0.0507895235626654,-0.2769450218169816
2010-04-01,0.45,7.071658229880288,9.634373270344307,4.383868451571579,9.9,-0.2666452383137043,0.0,0.0,0.0143687430431123,0.1344648791882719
2010-05-01,0.37,7.091958406178423,9.637134687284835,4.384948140430846,9.6,-0.1212961572539295,0.0,0.0,0.0,0.0
2010-06-01,0.32,6.976077222380499,9.639888499796024,4.386026664813799,9.4,0.0579588638732437,0.0,0.0,0.0257808816010174,-0.0763395890741867
2010-07-01,0.29,6.934757412817912,9.642634749645254,4.387104027242238,9.4,0.1892962046956033,0.0,0.0,0.0,0.0
2010-08-01,0.26,7.026302453720985,9.644536671322232,4.38936086705513,9.5,-0.2675668551397838,0.0,0.0,-0.0518715295453066,-0.185047550316067
2010-09-01,0.26,6.984984838693555,9.646434982558834,4.391612625003105,9.5,0.0164598829896749,0.0,0.0,-0.0662396364905575,-0.0248396621980888
