DATE,y1,log_sp500,log_rgdp,log_pgdp,unemp,EBP,shock_Hybrid_meeting_sum,shock_AD_meeting_sum,shock_Wu_meeting_sum,shock_Kr_meeting_sum
1982-10-01,9.32,4.803775121053884,8.67228691698051,3.6183024123681022,10.4,0.247427443072453,-0.2812864397109992,-0.0735187743960982,0.0,0.0
1982-11-01,9.16,4.908750220974353,8.67876235001094,3.6215218032878034,10.8,0.5237472703432402,-0.0879302475958856,-0.0192307655274103,0.0689764687883549,0.0
1982-12-01,8.91,4.932457520240997,8.685196121440702,3.624730862985105,10.8,0.6715397561039612,0.1152870734235366,0.0725573696910561,0.0835537272362707,0.0
1983-01-01,8.62,4.929714394258169,8.6915887639289,3.6279296575451037,10.4,0.2870694491076222,0.0,0.0,0.0,0.0
1983-02-01,8.92,4.962564919815916,8.70016324651759,3.630827573636754,10.4,0.2415947436193524,0.0381220934518849,0.0310859786220752,0.0612808997358449,0.0
1983-03-01,9.04,5.016484852024065,8.70866483196704,3.6337171160771944,10.3,0.1644194714072498,0.0685100675307554,0.032902841072654,0.0187740431231966,0.0
1983-04-01,8.98,5.030568657944079,8.71709474932571,3.636598333109887,10.2,0.0785888134613213,0.0,0.0,0.0,0.0
1983-05-01,8.9,5.088275123322132,8.725192873260628,3.64089809541613,10.1,-0.1126311436548318,0.0945243076872601,0.0438149865642264,-0.0043283497615202,0.0
1983-06-01,9.66,5.090985665205774,8.733225944040138,3.6451794488948783,10.1,0.0490745622082167,0.0,0.0,0.0,0.0
1983-07-01,10.2,5.127766259423206,8.741194998499624,3.6494425504964334,9.4,-0.1098506291166235,0.1009184891275526,0.0488909257064815,-0.029036308996895,0.0
1983-08-01,10.53,5.087843175135279,8.74970851938565,3.6527831377885667,9.5,-0.1760424790106582,-0.0573281733860407,-0.056729741564443,-0.0447042983538429,0.0
1983-09-01,10.16,5.101267859993383,8.758150171658315,3.6561126027082254,9.2,-0.0776692507319377,0.0,0.0,0.0,0.0
1983-10-01,9.81,5.110842542451283,8.766521158554298,3.659431019053556,8.8,-0.1011830605548567,0.0151437121385341,-0.0202814904805611,-0.0206385613972867,0.0
1983-11-01,9.94,5.097791129540149,8.77539706297897,3.6636838141725105,8.5,0.0215196148281519,-0.0096245651595707,-0.0227995666376224,-0.0175997329138817,0.0
1983-12-01,10.11,5.114935277588594,8.78419487832731,3.6679185995861543,8.3,0.0753066984284898,0.0378878472182493,0.0128725381973141,-0.0302049044217346,0.0
1984-01-01,9.9,5.100110257851338,8.79291596666028,3.6721355271889777,8.0,-0.0053755755094255,-0.0343514995705867,-0.0197413274228059,-0.0082528130857966,0.0
1984-02-01,10.04,5.092153865992365,8.799181700618703,3.675482776357643,7.8,-0.0819549382356874,0.0,0.0,0.0,0.0
1984-03-01,10.59,5.063796854853512,8.805408419486419,3.6788188588159447,7.8,-0.0059138814443472,0.1246591333558647,0.0402332218745414,-0.0286395796413975,0.0
1984-04-01,10.9,5.062468417416612,8.811596606131866,3.682143848827551,7.7,0.0613098345854752,0.0,0.0,0.0,0.0
1984-05-01,11.66,5.085619029799966,8.815386746064952,3.6856926030538952,7.4,-0.3675671257163417,-0.0276242603322302,-0.0410348544587348,-0.0768985682903692,0.0
