date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.04396418995865114,0.18983968906469517
1973-02-01,1.075493276125443,-0.05549421725012848,0.1859762731949745
1973-03-01,1.0299678416836435,-0.1476055222404391,0.1568858617718203
1973-04-01,0.9827458103604768,-0.2083299956448339,0.1394408127281399
1973-05-01,1.0464935117518377,-0.084054425949742,0.1766183599243545
1973-06-01,1.185925775964177,0.03536008327163253,0.21773450743639283
1973-07-01,0.9810549739577188,-0.34391691048979645,0.10539363058576837
1973-08-01,0.9777605050840716,-0.2153658426835092,0.13750834440831186
1973-09-01,0.8188236781169651,-0.3548735058922481,0.1029311108461238
1973-10-01,1.273250254171703,0.11766714908833498,0.2490320349079361
1973-11-01,1.3537449558224253,0.05318365330759445,0.2243128775413645
1973-12-01,1.295969416847959,-0.00751429150278615,0.2023741909751895
1974-01-01,1.1784210232542267,-0.03999232504312045,0.191181905684723
1974-02-01,1.3067144792396042,0.160977346702337,0.2664144416914622
1974-03-01,1.220038714401003,-0.09882872188104286,0.1718964549592803
1974-04-01,1.2539698576113811,0.09033891424769536,0.2383826449593159
1974-05-01,1.3012385977617122,0.0986378033995452,0.24158998175318255
1974-06-01,1.9017877205835212,0.7560908054674562,0.5462457137174949
1974-07-01,2.568696915547139,1.2661154128202712,0.7734539659850985
1974-08-01,2.1264243722076457,0.9416695679760498,0.6356677417238251
1974-09-01,2.381902491150801,1.0005275288068445,0.6627856773237412
1974-10-01,2.5524795103497766,1.114639083083903,0.712923943478809
1974-11-01,2.356853811556149,1.0891899355796986,0.7020505765315211
1974-12-01,2.661212477979876,1.223093915199278,0.75703087241629885
1975-01-01,1.7337713333806513,0.3909217458655174,0.367751303156721
1975-02-01,1.649526368358294,0.4124617556276051,0.3778868670662778
1975-03-01,1.8961250416029105,0.6033036438284916,0.4705962720311516
1975-04-01,1.5567123308218438,0.23746441984581537,0.29854116323607516
1975-05-01,1.606921254453593,0.3619075756003316,0.3542442375931828
1975-06-01,1.461922207470538,0.25584985473961686,0.3065184650080077
1975-07-01,1.4884824580177884,0.38453144340999224,0.36476163961818053
1975-08-01,1.300847928813233,0.1272497887368471,0.2528253086992674
1975-09-01,1.4186685311342824,0.302909578589158,0.3273522706431204
1975-10-01,1.3607284327062037,0.11368167705562128,0.24746335424359717
1975-11-01,1.329823154039846,0.18326151243156577,0.2755913840205849
1975-12-01,1.2541786335635057,-0.03712580046448366,0.19215419876852044
1976-01-01,0.9979908878131896,-0.16371467927198757,0.15212382460979
1976-02-01,1.0617339891598505,-0.08221196970484712,0.17721291333193995
1976-03-01,1.011120581271097,-0.12397833320138196,0.1640458575128669
1976-04-01,1.0521076518505803,-0.06619432529883662,0.18243489088974207
1976-05-01,1.0237351420087335,-0.1260150564712086,0.16342042600192583
1976-06-01,1.0197788832302777,-0.05261032956081135,0.18693798880856824
1976-07-01,0.9837099912897176,-0.0912720581284704,0.17430142659367537
1976-08-01,0.9120648551648856,-0.17152825090695056,0.14984898414697392
1976-09-01,0.8550532640032931,-0.20867846861085004,0.1393446683473873
1976-10-01,0.9219118941699904,-0.14597075513772673,0.15737453957141423
1976-11-01,0.8555867249993262,-0.37440583359801816,0.09864534488007544
1976-12-01,1.1083337127370156,-0.04531975497958918,0.18938293093786784
1977-01-01,0.9877198594648672,-0.33480095929693454,0.10747471554717816
1977-02-01,0.9379016261616826,-0.20850434514301597,0.13939270371754178
1977-03-01,0.9231957678701688,-0.17687154079574385,0.1483064701405785
1977-04-01,0.8633616214622896,-0.245730081442754,0.12937874017365383
1977-05-01,0.8099849739276472,-0.2495438320369585,0.12838170790962458
1977-06-01,0.8512871905637213,-0.26116555592399193,0.12537637489223957
1977-07-01,0.8767822191117481,-0.17945196638872007,0.14756536329898784
1977-08-01,0.9251361350888264,-0.18875340048208655,0.14491457731817925
1977-09-01,0.9449811605505964,-0.1378596844959291,0.1598139486699771
1977-10-01,0.9310095841986334,-0.1528118642918539,0.15533619991333034
1977-11-01,0.9339801709741394,-0.1361576721115606,0.16032895315791523
1977-12-01,0.7853049470875838,-0.3383396523899035,0.10666337589564548
1978-01-01,0.7587030375251503,-0.3364722638211638,0.10709097187782776
1978-02-01,0.7141317271766402,-0.34174793522984614,0.10588612445062036
1978-03-01,0.7198637386015848,-0.33935427659542017,0.10643156382576052
1978-04-01,0.7353117681645004,-0.28722355392074184,0.11881734031750472
1978-05-01,0.7776714269052935,-0.24803000275896311,0.12877682935594287
1978-06-01,0.6222007182807374,-0.45966337844885174,0.08146187065731092
1978-07-01,0.6187085690170846,-0.3736015229531008,0.09881920692750935
1978-08-01,0.5981373777490661,-0.3981356695077445,0.09361613377064078
1978-09-01,0.6381015099065186,-0.32168922137469436,0.110519686926486
1978-10-01,0.5641497987359325,-0.49664082026893874,0.07475312183057178
1978-11-01,0.6759448970423942,-0.23904789181861671,0.1311385812806549
1978-12-01,0.6532541104105585,-0.37951564572808905,0.09754602089820669
1979-01-01,0.702604369050579,-0.25345836483564566,0.1273638886099655
1979-02-01,0.6671887115386741,-0.31489012290863716,0.11212278870493164
1979-03-01,0.658788911062305,-0.17365475533726393,0.1492338224802719
1979-04-01,0.6687966878187225,-0.2100203750269194,0.13897485501603782
1979-05-01,0.7217913940558555,-0.24240176313275263,0.13025323962793464
1979-06-01,0.7660561848487495,-0.15023195713083115,0.15610283939383734
1979-07-01,0.6711907137257954,-0.2412738316555335,0.1305505238194848
1979-08-01,0.6016968629727698,-0.3242314072482141,0.1099245269756892
1979-09-01,0.7589592705917176,-0.08570606523065327,0.1760864559165627
1979-10-01,0.8097016210920253,-0.631678446690256,0.05379031776233035
1979-11-01,0.9268355130497898,0.00540489930868315,0.20693305440648788
1979-12-01,0.9386543194854636,0.21651446803382143,0.28956808301830594
1980-01-01,0.8763089833017584,-0.01623925705583484,0.19932962738354565
1980-02-01,1.016067906224119,-0.3086309282975188,0.11361322384139086
1980-03-01,1.0779462855935016,0.3506918275416233,0.34907059978966093
1980-04-01,1.306321372138604,-0.31928438451258434,0.11108481444716568
1980-05-01,1.1979530040650532,0.1364702714203252,0.256503736270936
1980-06-01,1.204192091752856,0.002961040967973,0.20606604655888783
1980-07-01,1.2144844853760512,0.21961154545716263,0.29088658824832897
1980-08-01,1.0731475421908905,0.08220064983090136,0.23526016738148464
1980-09-01,1.0790368515085909,0.05363401402335932,0.2244805464137294
1980-10-01,0.947510899515386,-0.10565461254187992,0.16974236292997852
1980-11-01,1.0484299435797464,0.36304332571551456,0.3547696625788519
1980-12-01,1.201437964383504,0.1563804983282231,0.2645408113883526
1981-01-01,1.1489316395602571,0.4367839944901891,0.38943315591958794
1981-02-01,0.9982558088979854,0.19661128014928997,0.28116248384732323
1981-03-01,0.9991969633732846,0.06165327714211943,0.2274779932653336
1981-04-01,1.188618422246655,0.5654355219286121,0.4519046697109317
1981-05-01,1.251470971544342,0.4004993984432951,0.3722471416655031
1981-06-01,1.179596752082935,0.4880940965063024,0.41410206278109857
1981-07-01,1.1739456995586088,0.47093154234826407,0.4058076255840909
1981-08-01,1.08259468139171,0.3138774394787006,0.3322893294106417
1981-09-01,1.231564533964261,0.44475165587996746,0.39323746052066166
1981-10-01,1.3323218953955485,0.5631558823065196,0.45078242237877736
1981-11-01,1.4975239359945196,0.2514809692077715,0.3046143208828374
1981-12-01,1.479355817462738,0.5712749579767515,0.4547811073340384
1982-01-01,1.4852202076580372,0.7609384336587707,0.5486330428127024
