Date,Hybrid,AD,Wu,Kr
1982-10-05,-0.28128643971099926,-0.0735187743960982,,
1982-11-16,-0.08793024759588564,-0.0192307655274103,0.06897646878835496,
1982-12-21,0.1152870734235366,0.0725573696910561,0.08355372723627076,
1983-02-09,0.038122093451884984,0.0310859786220752,0.06128089973584499,
1983-03-29,0.06851006753075548,0.032902841072654,0.018774043123196676,
1983-05-24,0.09452430768726017,0.0438149865642264,-0.004328349761520283,
1983-07-13,0.10091848912755264,0.0488909257064815,-0.02903630899689502,
1983-08-23,-0.057328173386040765,-0.056729741564443,-0.04470429835384298,
1983-10-04,0.015143712138534193,-0.0202814904805611,-0.02063856139728676,
1983-11-15,-0.009624565159570712,-0.0227995666376224,-0.017599732913881727,
1983-12-20,0.03788784721824931,0.0128725381973141,-0.030204904421734645,
1984-01-31,-0.03435149957058673,-0.0197413274228059,-0.008252813085796635,
1984-03-27,0.1246591333558647,0.0402332218745414,-0.028639579641397524,
1984-05-22,-0.027624260332230255,-0.0410348544587348,-0.07689856829036923,
1984-07-17,0.13686128182153856,0.104882986103141,-0.048442684902703516,
1984-08-21,-0.05448924890985467,0.00150047746759319,-0.030885620160645076,
1984-10-02,-0.13657237021879903,-0.0791748390791739,0.03419045332885614,
1984-11-07,-0.27030206738576124,-0.224302231147075,0.004352661755051869,
1984-12-18,-0.18087588979566338,-0.139576993799343,0.0041772542807975155,
1985-02-13,0.004468647206950685,0.0126525420692744,-0.01809655705965714,
1985-03-26,0.04584536688239629,0.0464701124485252,0.003003941173054296,
1985-05-21,-0.10572104367659985,-0.109898557349614,0.013643758312852913,
1985-07-10,0.07708436017198392,0.0659446361428646,0.04256659260081646,
1985-08-20,0.045843212276607814,0.0477018308412716,0.010036848565203047,
1985-10-01,0.06290013151777449,0.0366541890718498,0.017031282412242412,
1985-11-05,0.011474630034696287,-0.00385542574479018,0.023901064238289374,
1985-12-17,-0.06613193968438404,-0.0462986610554314,0.02614615431212371,
1986-02-12,-0.0024540205688931074,0.0107478914786726,-0.0019681031073368396,
1986-04-01,-0.03546173870945707,0.00909240040773071,-0.001552454628324245,
1986-05-20,0.04078197953325964,0.0215811535946391,-0.02649024859404283,
1986-07-09,-0.2104070218389808,-0.102484706692277,-0.03200567690501429,
1986-08-19,-0.13858615520470652,-0.0779446861461649,-0.023643044228136192,
1986-09-23,0.0580116337824834,0.0301666374325931,-0.004388538413557144,
1986-11-05,0.012351471741137893,0.0206815814640687,0.0028845957730260635,
1986-12-16,-0.024875803523913824,0.0107606171949092,0.021296370102425032,
1987-02-11,-0.025221002234076216,-0.0207294263827648,-0.029485074353148295,
1987-03-31,0.06612578895952594,0.0578030174525014,0.009287963041266514,
1987-05-19,0.08746148445766266,0.0549331768518184,0.0017997509850177507,
1987-07-07,0.012079024624123429,-0.0130975826224474,0.03216709057748973,
1987-08-18,0.02341289593626879,-0.000660563292707022,0.024286350397690244,
1987-09-22,8.057310200006856e-05,-0.0436375530979457,-0.016048037830389314,
1987-11-03,-0.1397059981988275,-0.0909679259724894,0.01945913933947009,
1987-12-16,0.01563785919079546,0.0167004017063691,-0.011296762002552231,
1988-02-10,-0.02672470165620225,-0.0269034407289555,0.013761364404599429,
1988-03-29,0.10857680689746624,0.0623674021882397,-0.003419721838712496,
1988-05-17,0.10719885949645758,0.0341331413554272,-0.011115398997470612,
1988-06-30,0.07428853240352373,0.0674695967481646,-0.021144531526776353,
1988-08-16,-0.02663979228280624,-0.0384416920832088,-0.005631775718585641,
1988-09-20,-0.04510835268063507,-0.0227965159458443,-0.03965788664078455,
1988-11-01,0.0053357082145444774,-0.0225954802518645,0.016923758767773304,
1988-12-14,0.16988482172460884,0.155044374592794,-0.020838277428887754,
1989-02-08,,,-0.05027927873669697,
1989-03-28,-0.012356304667573814,0.00587518558037581,-0.014835148199024643,
1989-05-16,-0.009674039660484038,-0.014491459918031,0.020694634304481947,
1989-07-06,-0.09147966949339453,-0.0707284816951684,0.04780568790843255,
1989-08-22,-0.003549651215578601,0.022015136621336,0.00528950512473713,
1989-10-03,-0.029282165715189747,0.0128093893743134,0.005646303144366429,
1989-11-14,0.030301166418588876,0.0355965764816173,0.01737430731618789,
1989-12-19,-0.07303773566744393,-0.0612887726143345,0.05588318965681542,
1990-02-07,0.0619966927409225,0.0196253065672618,0.03466096887310524,
1990-03-27,0.03220324012030095,0.0228719859667228,0.1664536426574798,
1990-05-15,0.0011878591522254366,0.0117078768614794,-0.10681574837803076,
1990-07-03,-0.07480044522479967,-0.0258672846610501,0.030812950074339707,
1990-08-21,0.06369390215632177,0.0462579878944466,0.12140495213321323,
1990-10-02,-0.028629414310297252,-0.0282970436950636,0.022091766045463757,
1990-11-13,0.00024016919179287166,0.00989595531231535,-0.04054948939788616,
1990-12-18,-0.0036908327968811494,-0.00198843149501779,-0.09917863576648767,
1991-02-06,-0.06949611882181023,-0.0716998539905019,-0.0995859208939413,
1991-03-26,0.057105018632103655,0.0551462235489909,-0.11608918554179554,
1991-05-14,0.06911250277460859,0.0333504506516369,0.0655691199858314,
1991-07-03,0.05808959026082992,0.031221212720137,0.01951703898908308,
1991-08-20,0.024476926743017106,0.0294122203650557,-0.08756564140484563,
1991-10-01,0.0501915801713563,0.0425321572714387,-0.05771374652119304,
1991-11-05,-0.1758334476459394,-0.136479939896561,-0.1603860123072623,
1991-12-17,-0.06016991013707401,-0.0114375527588945,-0.17379573690028982,
1992-02-05,0.04698312443926605,0.0631036303739988,0.013717069334713616,
1992-03-31,0.03203934506824121,0.0354243848227671,-0.054940315551532726,
1992-05-19,0.010156894191936171,0.0230806433954821,0.07030054394060367,
1992-07-01,-0.04979613491751353,-0.0313623752905432,-0.11155753335456317,
1992-08-18,-0.05146673084245512,-0.0252393352681816,-0.05717359069782932,
1992-10-06,-0.03805243315576462,-0.0226819679517709,0.051964046091393185,
1992-11-17,0.03742195009448333,0.0155617598031375,-0.022736971659141028,
1992-12-22,-0.014588658038957689,-0.0215603396996793,-0.0692109069833169,
1993-02-03,-0.06283207170838778,-0.0409772723259593,-0.005755093951787749,
1993-03-23,-0.013547758941849362,-0.027455683761687,0.0169055076086033,
1993-05-18,0.05687221012268516,0.0475901783883486,0.13170973143907788,
1993-07-07,-0.015640412084488103,-0.00718488593806381,-0.07223178332547872,
1993-08-17,-0.004655900428354624,-0.000649068622316399,-0.04374296274014997,
1993-09-21,0.05322581693944464,-0.00513616623350911,0.037037840482102805,
1993-11-16,-0.038583530450133574,-0.0350223192611725,-0.01580804063590422,
1993-12-21,-0.04453012939785052,-0.0475791225391597,-0.10039868401908636,
1994-02-04,0.024750712276703224,0.0333568711022328,0.0838794159537215,
1994-03-22,0.04580983653554821,0.058782804787777,0.18092998879341238,
1994-05-17,0.16387682512531315,0.163341345636055,0.20798080835905108,
1994-07-06,-0.04424587776592649,-0.0643721676345945,-0.025110436821770776,
1994-08-16,0.14917364773675662,0.131159991781325,-0.008323324375164837,
1994-09-27,0.0037028426839525036,-0.00856317064942502,0.08340969758458655,
1994-11-15,0.2721395264306752,0.205256364818477,0.545665612665517,
1994-12-20,-0.02391229114377738,-0.053064141703428,-0.004917862541397727,
1995-02-01,0.1766461009417269,0.12488572156648,-0.33297993211177424,
1995-03-28,-0.008962561517015535,-0.00298407633539636,-0.03476738631851721,-0.16416988160685142
1995-05-23,0.02054012451760144,0.00300696976452654,-0.12641315669125913,0.17543995544013424
1995-07-06,-0.055076033692409876,-0.0398348124111882,-0.06559789014578638,-0.13054163052089213
1995-08-22,-0.0025747358700635783,-0.00155793255955011,0.013669083763647862,0.03402726787209889
1995-09-26,-0.006924560201671863,-0.0124403994296574,0.006732637616094023,0.0008822840289476053
1995-11-15,-0.003664541101657603,-0.00482988344393342,-0.045073364559229306,0.001739422698943588
1995-12-19,-0.0995633319121984,-0.0824926870696931,-0.07822078471261512,-0.01285761311469319
1996-01-31,-0.10635432796471561,-0.0705031869682005,-0.005662451657308193,-0.10685528427506175
1996-03-26,0.02297285821658144,0.0156207714486457,0.061642974107320864,0.033657789917350904
1996-05-21,-0.022665681085833368,-0.00189803761465735,-0.0012976557130326763,0.13549400374393344
1996-07-03,-0.013447469904309624,-0.0178370084257785,0.07647923305151005,-0.006555761053697706
1996-08-20,-0.014714671237419638,-0.0223860274834397,-0.02280783812138583,0.07947167237755628
1996-09-24,0.022959011864683035,-0.0173676134381575,0.0046083912429143795,0.06653887994541417
1996-11-13,-0.016704627162586375,-0.020799072073048,-0.006534975936614056,-0.17309395289073362
1996-12-17,-0.0359570852175745,-0.019725885229515,0.018570104408501632,-0.07427405320890504
1997-02-05,-0.05648374514024122,-0.0511460372260446,0.00022851240136270712,0.07074069040797407
1997-03-25,0.07915653604564743,0.0941592120554336,0.044497586030900815,-0.03943040684450866
1997-05-20,-0.04858051300548645,-0.0587721816185338,-0.10255133601162672,0.0926179208606176
1997-07-02,-0.060494129643496125,-0.0180910739410156,-0.011227620008932099,-0.12003925856304173
1997-08-19,-0.06641033128761074,-0.0389315525452513,0.029770840561293282,-0.07166261343528174
1997-09-30,-0.03806705126126288,-0.0532164168663669,-0.08261230574360759,-0.02277346794950825
1997-11-12,-0.01832246536025725,-0.0404919141265607,0.01490115785341644,0.006770515040764563
1997-12-16,0.0015500108173377124,-0.000701113176793958,-0.02731972687077581,0.09654441606901015
1998-02-04,-0.011877288560228266,0.0118212769915035,0.028505124921611856,-0.07820386042345062
