n,pearson,spearman,mae,rmse,variant,ref
202,0.9277696669673265,0.9220747455232252,0.02126444994148136,0.03058641002100813,AD,Hybrid
103,0.44809368184263504,0.3706343627817072,0.08425847644481207,0.11210647536408133,Kr,Hybrid
201,0.34018960340611426,0.28970001477759716,0.06892508360221875,0.09613289438689136,Wu,Hybrid
