,Hybrid,AD,Wu,Kr
Hybrid,1.0,0.9277696669673278,0.34018960340611415,0.44809368184263487
AD,0.9277696669673278,1.0,0.3701392803154452,0.3585784404025528
Wu,0.34018960340611415,0.3701392803154452,1.0,0.1265323191347983
Kr,0.44809368184263487,0.3585784404025528,0.1265323191347983,1.0
