n,pearson,spearman,mae,rmse,variant,ref
202,0.9277696669673264,0.9220747455232252,0.02126444994148136,0.03058641002100813,Hybrid,AD
201,0.3701392803154449,0.3071848677405054,0.06321336743301094,0.08891449494623846,Wu,AD
103,0.35857844040255277,0.282519878750604,0.08820827000204721,0.11710870859469995,Kr,AD
