window,pearson_Hybrid-Kr,pearson_Hybrid-Wu,spearman_Hybrid-Kr,spearman_Hybrid-Wu,n_Hybrid-Kr,n_Hybrid-Wu
1982-2008,0.4480936818426351,0.34018960340611426,0.3706343627817072,0.28970001477759716,103,201
1990-2008,0.4480936818426351,0.46123852151530037,0.3706343627817072,0.41453661281247484,103,144
1995-2008,0.4480936818426351,0.31014060662010745,0.3706343627817072,0.3668622639496426,103,104
