h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
31,-0.004932,-0.014402,0.004282,-0.003950,-0.006903,-0.001449,-0.000946,-0.001676,-0.000373,-0.000593,-0.001056,-0.000202,0.030497,0.014642,0.051927,0.000139,-0.005865,0.007091
32,-0.005618,-0.014920,0.003176,-0.004016,-0.006969,-0.001585,-0.000936,-0.001646,-0.000375,-0.000580,-0.001054,-0.000210,0.029419,0.013874,0.050044,0.000808,-0.004926,0.007395
33,-0.006260,-0.015413,0.002298,-0.004098,-0.006999,-0.001702,-0.000935,-0.001642,-0.000376,-0.000587,-0.001057,-0.000215,0.029228,0.014049,0.050088,0.000457,-0.004903,0.006624
34,-0.006858,-0.015663,0.001605,-0.004165,-0.007111,-0.001791,-0.000928,-0.001633,-0.000368,-0.000585,-0.001051,-0.000210,0.029056,0.013617,0.048550,0.000543,-0.004275,0.006199
35,-0.007191,-0.016117,0.000690,-0.004141,-0.007019,-0.001794,-0.000939,-0.001647,-0.000377,-0.000594,-0.001058,-0.000224,0.028418,0.013690,0.047879,0.000243,-0.004266,0.005517
36,-0.007875,-0.016596,-0.000218,-0.004203,-0.007051,-0.001777,-0.000939,-0.001632,-0.000385,-0.000597,-0.001058,-0.000228,0.028422,0.013717,0.047500,0.000236,-0.003932,0.005527
37,-0.008537,-0.016999,-0.001266,-0.004151,-0.007000,-0.001792,-0.000937,-0.001626,-0.000393,-0.000601,-0.001054,-0.000239,0.027708,0.013271,0.046308,0.000098,-0.003900,0.004756
38,-0.008998,-0.017533,-0.001771,-0.004078,-0.007063,-0.001817,-0.000941,-0.001632,-0.000401,-0.000605,-0.001065,-0.000245,0.027697,0.013547,0.045981,-0.000204,-0.004157,0.003889
39,-0.009271,-0.017771,-0.002234,-0.004049,-0.007022,-0.001739,-0.000949,-0.001630,-0.000409,-0.000603,-0.001060,-0.000240,0.027105,0.012872,0.045597,-0.000254,-0.003979,0.003437
40,-0.009553,-0.018165,-0.002771,-0.003995,-0.006880,-0.001690,-0.000946,-0.001624,-0.000409,-0.000611,-0.001057,-0.000255,0.027171,0.012771,0.045379,-0.000453,-0.004035,0.002957
41,-0.009830,-0.018134,-0.003188,-0.003941,-0.006781,-0.001682,-0.000942,-0.001624,-0.000419,-0.000610,-0.001060,-0.000261,0.026673,0.012455,0.044603,-0.000516,-0.003864,0.002661
42,-0.010012,-0.018360,-0.003444,-0.003882,-0.006755,-0.001661,-0.000951,-0.001621,-0.000428,-0.000611,-0.001066,-0.000264,0.026362,0.012251,0.044366,-0.000660,-0.003929,0.002129
43,-0.010221,-0.018312,-0.003754,-0.003821,-0.006653,-0.001595,-0.000953,-0.001622,-0.000425,-0.000614,-0.001063,-0.000261,0.025922,0.011735,0.043934,-0.000692,-0.003806,0.001995
44,-0.010357,-0.018381,-0.003792,-0.003773,-0.006558,-0.001594,-0.000949,-0.001620,-0.000431,-0.000618,-0.001062,-0.000268,0.025674,0.011551,0.043302,-0.000725,-0.003753,0.001582
45,-0.010345,-0.018437,-0.003898,-0.003740,-0.006532,-0.001563,-0.000959,-0.001618,-0.000430,-0.000619,-0.001064,-0.000269,0.025377,0.011403,0.042963,-0.000567,-0.003437,0.001570
46,-0.010374,-0.018394,-0.004034,-0.003679,-0.006460,-0.001526,-0.000953,-0.001610,-0.000438,-0.000621,-0.001062,-0.000270,0.024872,0.010937,0.042535,-0.000554,-0.003365,0.001569
47,-0.010326,-0.018277,-0.004102,-0.003685,-0.006395,-0.001513,-0.000951,-0.001608,-0.000437,-0.000618,-0.001055,-0.000273,0.024592,0.010658,0.042210,-0.000534,-0.003093,0.001511
48,-0.010272,-0.018135,-0.004060,-0.003650,-0.006359,-0.001498,-0.000949,-0.001600,-0.000438,-0.000618,-0.001056,-0.000276,0.024171,0.010438,0.041590,-0.000421,-0.002751,0.001547
