h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
30,-0.013208,-0.033188,0.006773,0.006295,0.002411,0.010178,0.000042,-0.000217,0.000301,0.000446,0.000116,0.000776,-0.006013,-0.019285,0.007259,-0.083199,-0.102365,-0.064032
31,-0.002975,-0.021412,0.015463,0.010188,0.006006,0.014369,0.000324,0.000082,0.000565,0.000386,0.000151,0.000621,-0.010606,-0.022062,0.000851,-0.035735,-0.052841,-0.018629
32,-0.013919,-0.031517,0.003680,0.008287,0.005245,0.011329,0.000536,0.000363,0.000709,0.000254,0.000049,0.000459,-0.026346,-0.048318,-0.004374,-0.008058,-0.023274,0.007158
33,-0.003819,-0.016859,0.009220,0.002115,-0.002754,0.006984,0.000746,0.000579,0.000912,0.000222,0.000015,0.000428,-0.025611,-0.039458,-0.011763,0.011661,-0.011076,0.034398
34,0.006054,-0.004027,0.016136,0.004267,-0.000863,0.009398,0.000815,0.000587,0.001043,0.000299,0.000092,0.000505,-0.012230,-0.028957,0.004498,0.032169,0.015467,0.048871
35,0.003391,-0.006824,0.013605,0.003495,0.000057,0.006934,0.000715,0.000407,0.001024,0.000285,0.000076,0.000493,-0.004220,-0.024956,0.016516,0.008742,-0.003476,0.020960
36,0.010997,-0.002941,0.024935,0.004693,0.002338,0.007049,0.000443,0.000142,0.000743,0.000292,0.000118,0.000465,-0.025862,-0.032738,-0.018987,0.023798,0.004868,0.042727
37,0.011611,0.003571,0.019651,0.003826,-0.000310,0.007963,0.000126,-0.000288,0.000539,0.000188,0.000039,0.000337,-0.039416,-0.052603,-0.026230,0.012400,-0.007823,0.032623
38,0.015644,0.007514,0.023775,0.000414,-0.001980,0.002809,-0.000034,-0.000434,0.000367,0.000053,-0.000093,0.000199,-0.044331,-0.057541,-0.031120,0.046156,0.036065,0.056248
39,0.019971,0.012648,0.027295,0.000440,-0.002496,0.003376,0.000014,-0.000286,0.000314,-0.000091,-0.000257,0.000075,-0.014145,-0.030156,0.001866,0.065933,0.048309,0.083558
40,0.004683,-0.003122,0.012488,-0.002472,-0.007486,0.002541,0.000052,-0.000180,0.000284,-0.000190,-0.000341,-0.000038,0.001482,-0.017789,0.020754,0.088573,0.078387,0.098759
41,0.005265,-0.006059,0.016589,-0.000776,-0.003776,0.002225,0.000051,-0.000187,0.000288,-0.000270,-0.000393,-0.000146,-0.015116,-0.036780,0.006547,0.027997,0.017971,0.038022
42,0.016633,0.007820,0.025446,0.000743,-0.003748,0.005234,-0.000119,-0.000391,0.000153,-0.000242,-0.000413,-0.000071,-0.021765,-0.032129,-0.011402,0.007916,-0.006073,0.021905
43,0.018880,0.012945,0.024815,0.001062,-0.000278,0.002401,-0.000157,-0.000453,0.000139,-0.000203,-0.000378,-0.000028,-0.018723,-0.027841,-0.009605,0.029101,0.012658,0.045544
44,0.001397,-0.007893,0.010687,-0.001243,-0.003543,0.001057,-0.000163,-0.000504,0.000178,-0.000074,-0.000220,0.000071,0.010622,-0.003927,0.025171,0.006559,-0.012702,0.025820
45,0.005393,-0.005280,0.016066,-0.002566,-0.005787,0.000655,-0.000116,-0.000414,0.000182,-0.000026,-0.000154,0.000102,0.026193,0.017505,0.034881,0.005119,-0.016303,0.026541
46,-0.002628,-0.010855,0.005598,-0.005838,-0.007523,-0.004153,-0.000170,-0.000418,0.000077,0.000059,-0.000046,0.000164,0.015407,0.009826,0.020988,0.010653,-0.006430,0.027737
47,-0.005443,-0.017214,0.006328,-0.008380,-0.010893,-0.005867,-0.000166,-0.000334,0.000003,0.000083,-0.000041,0.000206,0.002672,-0.002311,0.007655,0.001678,-0.009286,0.012642
48,-0.000689,-0.012706,0.011329,-0.006754,-0.009467,-0.004041,-0.000255,-0.000425,-0.000085,0.000030,-0.000088,0.000148,-0.001795,-0.005909,0.002320,0.034525,0.025384,0.043666
