h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
29,-0.035294,-0.069598,-0.000990,0.016016,0.007452,0.024580,0.000435,0.000272,0.000599,0.000821,0.000275,0.001367,-0.016758,-0.027998,-0.005518,-0.081177,-0.116800,-0.045554
30,-0.009496,-0.032156,0.013165,0.009957,0.002923,0.016992,0.000535,0.000382,0.000688,0.000902,0.000369,0.001434,-0.018224,-0.027370,-0.009078,-0.078720,-0.103666,-0.053774
31,-0.001906,-0.029328,0.025517,0.014859,0.008092,0.021626,0.000783,0.000572,0.000995,0.000659,0.000062,0.001256,0.011925,-0.011422,0.035273,-0.047362,-0.079625,-0.015099
32,0.022246,0.005767,0.038725,0.003838,-0.004257,0.011932,0.001051,0.000717,0.001386,0.000940,0.000317,0.001562,-0.013348,-0.034921,0.008225,0.024675,-0.021031,0.070381
33,0.016907,-0.001238,0.035052,0.002761,-0.004833,0.010355,0.001093,0.000835,0.001351,0.000907,0.000289,0.001525,-0.047499,-0.065040,-0.029958,0.003138,-0.028233,0.034509
34,0.046173,0.031534,0.060811,0.017027,0.014250,0.019803,0.000703,0.000493,0.000913,0.001176,0.000642,0.001710,-0.036406,-0.051454,-0.021357,-0.013324,-0.047087,0.020439
35,0.056644,0.034751,0.078536,0.015145,0.011747,0.018542,0.000417,0.000038,0.000796,0.001132,0.000560,0.001704,-0.058853,-0.073702,-0.044004,-0.005587,-0.047461,0.036286
36,0.041710,0.014570,0.068849,0.008874,0.005172,0.012577,0.000495,-0.000152,0.001143,0.001078,0.000583,0.001573,-0.046524,-0.064852,-0.028196,-0.020578,-0.058101,0.016944
37,0.044029,0.019472,0.068585,0.005528,-0.001482,0.012538,0.000827,-0.000006,0.001660,0.000863,0.000443,0.001283,-0.020649,-0.045700,0.004402,-0.015711,-0.038014,0.006592
38,0.046388,0.020544,0.072232,0.013123,0.008067,0.018180,0.001018,0.000064,0.001973,0.000582,0.000251,0.000914,-0.011807,-0.044115,0.020501,0.028765,0.011469,0.046060
39,0.028445,-0.001435,0.058326,-0.004363,-0.014603,0.005876,0.001097,0.000105,0.002090,0.000433,0.000157,0.000708,-0.000549,-0.034662,0.033564,0.044751,0.019431,0.070072
40,0.020002,-0.009442,0.049445,-0.006209,-0.017503,0.005085,0.001175,0.000257,0.002092,0.000421,0.000171,0.000671,0.015895,-0.010800,0.042590,0.092913,0.076047,0.109778
41,0.020331,0.001426,0.039235,-0.004857,-0.011024,0.001310,0.001200,0.000208,0.002192,0.000258,-0.000074,0.000590,-0.003871,-0.024724,0.016982,0.009473,-0.011459,0.030406
42,0.020574,0.004250,0.036898,-0.001061,-0.004725,0.002602,0.000896,-0.000124,0.001917,0.000036,-0.000386,0.000457,0.007021,-0.023300,0.037342,0.019134,-0.000631,0.038898
43,0.025765,0.009845,0.041685,-0.001186,-0.003305,0.000932,0.000662,-0.000268,0.001591,-0.000119,-0.000441,0.000204,-0.017186,-0.036982,0.002610,0.069196,0.048630,0.089761
44,-0.006384,-0.015266,0.002498,-0.001668,-0.009209,0.005874,0.000628,0.000029,0.001227,0.000035,-0.000109,0.000179,-0.005417,-0.021351,0.010516,0.058464,0.037767,0.079161
45,-0.017568,-0.023081,-0.012055,-0.003677,-0.006791,-0.000563,0.000668,0.000249,0.001087,-0.000097,-0.000181,-0.000012,-0.008530,-0.029572,0.012512,0.068557,0.035868,0.101245
46,-0.031470,-0.039288,-0.023652,-0.006262,-0.011380,-0.001145,0.000937,0.000501,0.001373,-0.000154,-0.000243,-0.000065,0.021160,-0.018026,0.060345,0.111269,0.095502,0.127036
47,-0.040361,-0.048527,-0.032194,-0.012217,-0.014923,-0.009512,0.000518,0.000006,0.001031,-0.000248,-0.000388,-0.000107,-0.012927,-0.021601,-0.004253,0.119410,0.099632,0.139187
48,-0.052524,-0.062181,-0.042867,-0.008836,-0.013927,-0.003745,0.000002,-0.000366,0.000370,-0.000286,-0.000402,-0.000170,-0.006221,-0.016991,0.004549,0.095210,0.077059,0.113362
