h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
30,-0.100610,-0.143493,-0.057726,-0.023856,-0.029715,-0.017996,-0.002856,-0.003613,-0.002099,0.000060,-0.000261,0.000380,0.074632,0.045291,0.103973,0.018015,-0.004306,0.040337
31,-0.099224,-0.149487,-0.048961,-0.024508,-0.031843,-0.017172,-0.002611,-0.003458,-0.001765,0.000016,-0.000294,0.000325,0.085336,0.057526,0.113146,0.007509,-0.015867,0.030884
32,-0.125953,-0.180032,-0.071875,-0.025994,-0.033912,-0.018076,-0.002619,-0.003438,-0.001800,-0.000024,-0.000322,0.000275,0.076323,0.048634,0.104012,0.010043,-0.010433,0.030519
33,-0.111357,-0.157467,-0.065247,-0.026840,-0.034921,-0.018759,-0.003016,-0.003799,-0.002233,-0.000089,-0.000394,0.000216,0.075932,0.046805,0.105058,-0.011159,-0.037323,0.015005
34,-0.088985,-0.130859,-0.047112,-0.025458,-0.032877,-0.018038,-0.003062,-0.003881,-0.002244,-0.000149,-0.000450,0.000151,0.079345,0.052043,0.106646,0.005671,-0.020563,0.031906
35,-0.119434,-0.166959,-0.071909,-0.028873,-0.036889,-0.020857,-0.002955,-0.003763,-0.002147,-0.000211,-0.000510,0.000087,0.064655,0.038248,0.091063,0.014863,-0.013688,0.043413
36,-0.136309,-0.188416,-0.084203,-0.021057,-0.029609,-0.012504,-0.002852,-0.003681,-0.002022,-0.000235,-0.000525,0.000055,0.047569,0.015892,0.079246,-0.011476,-0.043365,0.020413
37,-0.133829,-0.186951,-0.080708,-0.015601,-0.024051,-0.007152,-0.002614,-0.003496,-0.001732,-0.000280,-0.000560,0.000000,0.052926,0.024619,0.081233,-0.009801,-0.035103,0.015502
38,-0.119539,-0.173912,-0.065167,-0.017021,-0.027109,-0.006933,-0.002428,-0.003424,-0.001431,-0.000292,-0.000571,-0.000014,0.044824,0.012390,0.077259,-0.026398,-0.061631,0.008834
39,-0.114864,-0.171011,-0.058716,-0.013743,-0.022760,-0.004726,-0.002314,-0.003340,-0.001288,-0.000315,-0.000594,-0.000037,0.043384,0.016875,0.069894,-0.024915,-0.054253,0.004423
40,-0.119113,-0.177189,-0.061037,-0.017360,-0.026704,-0.008016,-0.002283,-0.003302,-0.001264,-0.000335,-0.000622,-0.000048,0.038756,0.009297,0.068216,-0.049530,-0.086777,-0.012282
41,-0.098030,-0.154322,-0.041739,-0.014017,-0.022587,-0.005448,-0.002547,-0.003496,-0.001598,-0.000357,-0.000641,-0.000073,0.019927,-0.008479,0.048332,-0.056012,-0.089059,-0.022965
42,-0.094386,-0.145996,-0.042776,-0.011762,-0.020140,-0.003383,-0.002602,-0.003601,-0.001604,-0.000387,-0.000663,-0.000111,0.036407,0.008701,0.064114,-0.040048,-0.076420,-0.003677
43,-0.093037,-0.149576,-0.036499,-0.012448,-0.021933,-0.002962,-0.002561,-0.003638,-0.001484,-0.000464,-0.000737,-0.000191,0.034995,0.006314,0.063676,-0.033038,-0.068061,0.001985
44,-0.091007,-0.152341,-0.029672,-0.010559,-0.019196,-0.001922,-0.002439,-0.003565,-0.001314,-0.000557,-0.000831,-0.000283,0.021592,-0.009690,0.052874,-0.038461,-0.073870,-0.003052
45,-0.076980,-0.146702,-0.007259,-0.011331,-0.020136,-0.002527,-0.002540,-0.003747,-0.001334,-0.000601,-0.000860,-0.000342,0.015931,-0.019983,0.051845,-0.026170,-0.060702,0.008361
46,-0.071335,-0.138484,-0.004187,-0.006245,-0.016637,0.004148,-0.002643,-0.003912,-0.001375,-0.000636,-0.000890,-0.000381,0.042827,0.011017,0.074637,-0.045836,-0.086079,-0.005592
47,-0.082016,-0.155098,-0.008933,-0.006668,-0.017228,0.003892,-0.002381,-0.003607,-0.001155,-0.000725,-0.000981,-0.000469,0.038500,0.003491,0.073508,-0.045322,-0.086108,-0.004536
48,-0.079659,-0.158185,-0.001134,-0.010204,-0.021420,0.001012,-0.001996,-0.003100,-0.000893,-0.000826,-0.001078,-0.000575,0.019005,-0.016615,0.054625,-0.044517,-0.069195,-0.019838
