h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
30,-0.102304,-0.149466,-0.055142,-0.006668,-0.014949,0.001614,-0.001522,-0.002293,-0.000751,0.000009,-0.000407,0.000425,0.050577,0.023694,0.077461,0.108670,0.079846,0.137494
31,-0.115529,-0.165669,-0.065388,-0.007595,-0.016587,0.001397,-0.001879,-0.002709,-0.001050,-0.000017,-0.000418,0.000383,0.069540,0.044067,0.095013,0.083462,0.059067,0.107856
32,-0.138547,-0.183535,-0.093559,-0.013004,-0.023017,-0.002992,-0.001743,-0.002537,-0.000949,-0.000056,-0.000452,0.000341,0.054008,0.028504,0.079513,0.084143,0.062232,0.106055
33,-0.169081,-0.213943,-0.124218,-0.017430,-0.025762,-0.009098,-0.002115,-0.002991,-0.001239,-0.000102,-0.000490,0.000287,0.070241,0.042913,0.097570,0.078980,0.055454,0.102507
34,-0.148700,-0.193937,-0.103464,-0.008906,-0.016909,-0.000903,-0.001643,-0.002409,-0.000877,-0.000214,-0.000599,0.000171,0.055475,0.033313,0.077638,0.031201,0.005798,0.056603
35,-0.143418,-0.199107,-0.087728,-0.009913,-0.017212,-0.002613,-0.002109,-0.003119,-0.001098,-0.000168,-0.000552,0.000216,0.079568,0.045416,0.113720,0.062902,0.023469,0.102335
36,-0.120140,-0.178358,-0.061922,-0.008055,-0.015736,-0.000373,-0.001056,-0.001816,-0.000296,-0.000267,-0.000641,0.000107,0.059754,0.037200,0.082309,0.021717,-0.000438,0.043872
37,-0.140296,-0.202871,-0.077721,-0.013661,-0.022067,-0.005255,-0.000769,-0.001613,0.000074,-0.000302,-0.000661,0.000057,0.058724,0.037666,0.079783,-0.012962,-0.037764,0.011841
38,-0.158543,-0.231543,-0.085542,-0.016009,-0.023771,-0.008247,-0.001363,-0.002349,-0.000378,-0.000303,-0.000644,0.000038,0.061216,0.036188,0.086244,0.013285,-0.025338,0.051907
39,-0.137117,-0.200853,-0.073380,-0.013081,-0.020070,-0.006092,-0.000921,-0.001900,0.000059,-0.000372,-0.000715,-0.000030,0.044410,0.024351,0.064468,0.005954,-0.038280,0.050188
40,-0.137728,-0.194423,-0.081033,-0.015188,-0.021539,-0.008837,-0.000747,-0.001751,0.000258,-0.000386,-0.000723,-0.000049,0.047163,0.026931,0.067395,-0.007537,-0.040559,0.025485
41,-0.096652,-0.148347,-0.044956,-0.007367,-0.014995,0.000262,-0.000064,-0.001004,0.000875,-0.000395,-0.000729,-0.000061,0.012742,-0.012174,0.037658,-0.075909,-0.105826,-0.045991
42,-0.063364,-0.105916,-0.020812,-0.001442,-0.007133,0.004250,-0.000291,-0.001190,0.000608,-0.000317,-0.000636,0.000001,0.020035,-0.004736,0.044806,-0.044277,-0.070097,-0.018458
43,-0.041267,-0.082564,0.000029,0.001595,-0.004914,0.008104,-0.000294,-0.001190,0.000602,-0.000272,-0.000581,0.000037,0.027072,0.001526,0.052619,-0.057265,-0.099701,-0.014828
44,-0.054979,-0.100372,-0.009585,0.003832,-0.003995,0.011659,-0.000610,-0.001583,0.000363,-0.000285,-0.000573,0.000002,0.045058,0.018903,0.071212,-0.069361,-0.134066,-0.004657
45,-0.049464,-0.100662,0.001734,0.006563,-0.000141,0.013267,-0.000163,-0.001072,0.000746,-0.000338,-0.000609,-0.000068,0.011348,-0.015179,0.037876,-0.038589,-0.076560,-0.000619
46,-0.034791,-0.086081,0.016500,-0.002516,-0.008501,0.003470,-0.000026,-0.001050,0.000997,-0.000372,-0.000628,-0.000116,0.026522,0.002479,0.050566,-0.027514,-0.071274,0.016246
47,-0.004014,-0.040784,0.032756,0.004595,-0.003025,0.012216,0.001199,0.000256,0.002142,-0.000441,-0.000722,-0.000161,-0.006615,-0.032943,0.019712,-0.090996,-0.123582,-0.058411
48,0.045152,0.007104,0.083200,0.006072,-0.002483,0.014627,0.001790,0.000709,0.002871,-0.000481,-0.000780,-0.000182,-0.031172,-0.054888,-0.007456,-0.097323,-0.122690,-0.071955
