h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
30,-0.122363,-0.169784,-0.074942,-0.028878,-0.034618,-0.023138,-0.003106,-0.003984,-0.002228,0.000376,0.000036,0.000716,0.078679,0.049642,0.107716,0.022289,0.001579,0.042998
31,-0.120660,-0.174045,-0.067274,-0.027859,-0.035284,-0.020433,-0.002843,-0.003856,-0.001831,0.000302,-0.000035,0.000639,0.096151,0.069550,0.122752,-0.001476,-0.023949,0.020996
32,-0.150066,-0.207988,-0.092145,-0.029762,-0.037451,-0.022073,-0.003019,-0.004048,-0.001990,0.000246,-0.000087,0.000579,0.090713,0.064448,0.116978,0.002911,-0.018561,0.024383
33,-0.136050,-0.184984,-0.087116,-0.031234,-0.039763,-0.022705,-0.003486,-0.004620,-0.002352,0.000159,-0.000183,0.000501,0.088240,0.058282,0.118199,-0.012843,-0.047291,0.021606
34,-0.120395,-0.168441,-0.072350,-0.028507,-0.035794,-0.021219,-0.003522,-0.004620,-0.002425,0.000071,-0.000260,0.000402,0.100094,0.070590,0.129598,0.006103,-0.027540,0.039747
35,-0.144712,-0.196797,-0.092627,-0.029017,-0.037992,-0.020042,-0.003140,-0.004146,-0.002133,-0.000040,-0.000364,0.000284,0.076258,0.050989,0.101527,0.001708,-0.025720,0.029136
36,-0.159855,-0.216279,-0.103431,-0.022394,-0.032880,-0.011907,-0.003171,-0.004177,-0.002165,-0.000079,-0.000384,0.000226,0.071283,0.039684,0.102882,-0.015687,-0.051490,0.020116
37,-0.167203,-0.224273,-0.110133,-0.015611,-0.026432,-0.004790,-0.002983,-0.004071,-0.001895,-0.000147,-0.000437,0.000142,0.072680,0.045464,0.099896,-0.017120,-0.046045,0.011806
38,-0.148539,-0.209895,-0.087184,-0.017849,-0.030151,-0.005547,-0.002829,-0.003975,-0.001683,-0.000174,-0.000456,0.000108,0.066817,0.033829,0.099805,-0.022684,-0.063882,0.018515
39,-0.134592,-0.203870,-0.065314,-0.012535,-0.024028,-0.001042,-0.002670,-0.003832,-0.001509,-0.000204,-0.000498,0.000089,0.066133,0.036543,0.095723,-0.027409,-0.061470,0.006652
40,-0.138425,-0.209928,-0.066923,-0.017529,-0.028504,-0.006554,-0.002614,-0.003701,-0.001527,-0.000244,-0.000560,0.000072,0.053522,0.020043,0.087001,-0.043298,-0.078786,-0.007810
41,-0.120957,-0.189554,-0.052359,-0.014616,-0.024529,-0.004702,-0.002849,-0.003881,-0.001817,-0.000288,-0.000609,0.000034,0.030154,-0.002713,0.063020,-0.046695,-0.077530,-0.015860
42,-0.107016,-0.169580,-0.044451,-0.012631,-0.022730,-0.002532,-0.002704,-0.003703,-0.001705,-0.000348,-0.000665,-0.000031,0.043799,0.010864,0.076735,-0.035050,-0.067384,-0.002716
43,-0.114966,-0.176915,-0.053017,-0.011924,-0.023188,-0.000660,-0.002608,-0.003633,-0.001583,-0.000436,-0.000748,-0.000125,0.043877,0.012073,0.075682,-0.041479,-0.073920,-0.009038
44,-0.125456,-0.188215,-0.062698,-0.008087,-0.017413,0.001238,-0.002339,-0.003453,-0.001224,-0.000533,-0.000855,-0.000212,0.031683,-0.001162,0.064527,-0.044543,-0.074953,-0.014133
45,-0.109809,-0.175251,-0.044366,-0.009005,-0.017576,-0.000434,-0.002307,-0.003483,-0.001132,-0.000599,-0.000906,-0.000292,0.020390,-0.019274,0.060053,-0.034246,-0.066446,-0.002047
46,-0.098088,-0.166270,-0.029907,-0.005226,-0.015441,0.004988,-0.002385,-0.003612,-0.001159,-0.000631,-0.000923,-0.000339,0.050615,0.014487,0.086744,-0.056520,-0.089741,-0.023299
47,-0.099184,-0.178084,-0.020284,-0.005928,-0.015448,0.003593,-0.002078,-0.003240,-0.000915,-0.000713,-0.001003,-0.000424,0.049067,0.012049,0.086084,-0.059384,-0.099526,-0.019241
48,-0.077559,-0.159814,0.004696,-0.008253,-0.017669,0.001162,-0.001611,-0.002637,-0.000585,-0.000809,-0.001097,-0.000522,0.024502,-0.012975,0.061980,-0.065801,-0.088707,-0.042895
