,Hybrid,AD,Wu,Kr
Hybrid,1.0,0.9277696669673278,0.36352685160276166,0.44809368184263487
AD,0.9277696669673278,1.0,0.36352254000831447,0.3585784404025528
Wu,0.36352685160276166,0.36352254000831447,1.0,0.29458058429286954
Kr,0.44809368184263487,0.3585784404025528,0.29458058429286954,1.0
